OrderDetailID,OrderID,ProductID,Quantity
1,1,462,4
2,2,11,2
3,3,385,5
4,4,199,8
5,5,370,1
6,6,240,9
7,7,361,5
8,8,74,1
9,9,448,7
10,10,392,2
11,11,214,1
12,12,347,1
13,13,152,4
14,14,19,1
15,15,42,7
16,16,263,8
17,17,497,5
18,18,419,9
19,19,416,9
20,20,381,6
21,21,289,9
22,22,221,7
23,23,455,1
24,24,470,6
25,25,451,7
26,26,32,9
27,27,239,7
28,28,214,6
29,29,21,1
30,30,156,6
31,31,279,3
32,32,494,3
33,33,48,2
34,34,130,7
35,35,299,6
36,36,156,1
37,37,56,2
38,38,317,1
39,39,205,4
40,40,431,3
41,41,489,1
42,42,114,5
43,43,409,1
44,44,134,2
45,45,131,8
46,46,14,5
47,47,292,9
48,48,109,1
49,49,154,7
50,50,498,4
51,51,14,2
52,52,205,5
53,53,66,9
54,54,78,6
55,55,453,5
56,56,453,5
57,57,254,1
58,58,366,7
59,59,297,7
60,60,162,3
61,61,158,3
62,62,199,9
63,63,445,9
64,64,452,2
65,65,252,3
66,66,88,3
67,67,273,4
68,68,446,3
69,69,292,2
70,70,430,9
71,71,496,9
72,72,299,4
73,73,250,8
74,74,361,9
75,75,68,2
76,76,274,7
77,77,496,5
78,78,493,6
79,79,72,3
80,80,352,9
81,81,389,6
82,82,258,5
83,83,251,9
84,84,155,1
85,85,91,7
86,86,249,3
87,87,451,8
88,88,208,5
89,89,479,2
90,90,29,5
91,91,488,2
92,92,430,8
93,93,287,9
94,94,358,3
95,95,250,4
96,96,194,8
97,97,220,2
98,98,303,1
99,99,113,7
100,100,2,4
101,101,27,4
102,102,103,9
103,103,17,3
104,104,110,8
105,105,323,4
106,106,460,8
107,107,58,8
108,108,124,9
109,109,378,5
110,110,308,3
111,111,468,2
112,112,141,1
113,113,363,8
114,114,164,3
115,115,141,5
116,116,383,3
117,117,334,9
118,118,298,6
119,119,277,7
120,120,454,6
121,121,281,4
122,122,311,7
123,123,412,3
124,124,257,5
125,125,201,6
126,126,103,1
127,127,495,8
128,128,218,8
129,129,149,3
130,130,443,5
131,131,401,1
132,132,255,3
133,133,307,2
134,134,81,8
135,135,450,4
136,136,392,2
137,137,86,7
138,138,354,1
139,139,203,5
140,140,149,3
141,141,240,8
142,142,362,7
143,143,299,3
144,144,195,1
145,145,17,3
146,146,467,7
147,147,290,5
148,148,343,5
149,149,250,8
150,150,338,5
151,151,280,5
152,152,85,4
153,153,202,1
154,154,402,6
155,155,297,9
156,156,80,8
157,157,105,3
158,158,318,7
159,159,39,7
160,160,93,9
161,161,267,5
162,162,69,1
163,163,14,7
164,164,235,5
165,165,44,3
166,166,89,4
167,167,32,3
168,168,391,2
169,169,416,5
170,170,398,4
171,171,442,7
172,172,416,9
173,173,190,1
174,174,44,5
175,175,120,1
176,176,194,4
177,177,379,7
178,178,390,2
179,179,411,3
180,180,266,8
181,181,63,8
182,182,49,4
183,183,436,1
184,184,111,1
185,185,293,7
186,186,131,4
187,187,488,8
188,188,161,5
189,189,396,3
190,190,398,3
191,191,332,5
192,192,162,6
193,193,56,1
194,194,367,9
195,195,335,9
196,196,122,4
197,197,65,7
198,198,70,4
199,199,349,3
200,200,39,6
201,201,146,9
202,202,469,5
203,203,147,9
204,204,473,7
205,205,34,9
206,206,166,8
207,207,129,4
208,208,311,1
209,209,251,3
210,210,136,4
211,211,249,6
212,212,348,9
213,213,114,8
214,214,191,6
215,215,149,2
216,216,190,2
217,217,166,1
218,218,478,9
219,219,34,5
220,220,211,6
221,221,419,9
222,222,348,9
223,223,490,1
224,224,383,7
225,225,495,4
226,226,74,3
227,227,78,1
228,228,406,3
229,229,447,7
230,230,395,3
231,231,171,2
232,232,398,5
233,233,408,7
234,234,254,4
235,235,274,5
236,236,373,7
237,237,488,7
238,238,27,1
239,239,490,9
240,240,311,6
241,241,439,8
242,242,199,6
243,243,111,5
244,244,123,8
245,245,325,5
246,246,253,7
247,247,473,1
248,248,55,8
249,249,281,9
250,250,185,6
251,251,359,8
252,252,270,1
253,253,498,4
254,254,198,5
255,255,242,3
256,256,102,4
257,257,61,8
258,258,450,9
259,259,422,2
260,260,469,4
261,261,318,9
262,262,240,6
263,263,436,2
264,264,470,4
265,265,452,5
266,266,355,7
267,267,364,4
268,268,37,5
269,269,2,4
270,270,266,9
271,271,264,2
272,272,383,3
273,273,422,6
274,274,405,8
275,275,10,9
276,276,447,8
277,277,465,3
278,278,56,2
279,279,413,2
280,280,27,4
281,281,125,1
282,282,281,8
283,283,142,2
284,284,151,7
285,285,12,7
286,286,375,1
287,287,285,1
288,288,271,1
289,289,250,6
290,290,353,6
291,291,346,6
292,292,124,6
293,293,297,7
294,294,301,6
295,295,84,2
296,296,216,7
297,297,66,9
298,298,33,2
299,299,367,9
300,300,352,4
301,301,2,1
302,302,473,7
303,303,148,6
304,304,7,8
305,305,295,2
306,306,448,5
307,307,356,5
308,308,206,6
309,309,172,2
310,310,55,3
311,311,483,4
312,312,389,7
313,313,388,9
314,314,60,9
315,315,451,1
316,316,369,4
317,317,227,9
318,318,255,3
319,319,382,4
320,320,224,6
321,321,196,5
322,322,477,5
323,323,167,9
324,324,345,8
325,325,144,2
326,326,378,9
327,327,497,8
328,328,372,9
329,329,366,4
330,330,416,3
331,331,136,5
332,332,266,9
333,333,345,7
334,334,318,8
335,335,203,4
336,336,424,9
337,337,129,4
338,338,75,5
339,339,446,4
340,340,90,2
341,341,211,9
342,342,368,6
343,343,31,6
344,344,470,3
345,345,270,9
346,346,158,6
347,347,165,7
348,348,230,7
349,349,255,1
350,350,459,3
351,351,434,1
352,352,42,5
353,353,321,3
