OrderID,CustomerID,OrderDate,SalesChannel
1,720,2021-07-12 00:00:00,Online
2,1661,2023-04-25 00:00:00,Online
3,841,2021-08-23 00:00:00,Online
4,2407,2021-12-09 00:00:00,Online
5,999,2022-11-03 00:00:00,Online
6,2014,2023-02-22 00:00:00,Online
7,1239,2023-12-19 00:00:00,In-store
8,2939,2024-04-18 00:00:00,Online
9,2417,2022-10-05 00:00:00,In-store
10,1497,2023-12-10 00:00:00,Online
11,734,2022-05-12 00:00:00,In-store
12,1010,2021-07-11 00:00:00,In-store
13,1446,2021-11-02 00:00:00,Online
14,1826,2023-04-29 00:00:00,In-store
15,2571,2023-11-17 00:00:00,In-store
16,2228,2023-06-14 00:00:00,In-store
17,2176,2021-06-07 00:00:00,In-store
18,1027,2023-02-12 00:00:00,In-store
19,1968,2022-04-29 00:00:00,Online
20,1680,2023-07-13 00:00:00,Online
21,1450,2022-01-05 00:00:00,Online
22,329,2023-11-02 00:00:00,Online
23,119,2022-01-28 00:00:00,In-store
24,2247,2023-09-16 00:00:00,Online
25,984,2022-08-08 00:00:00,In-store
26,2146,2021-10-28 00:00:00,In-store
27,37,2022-04-13 00:00:00,In-store
28,499,2023-03-06 00:00:00,Online
29,1391,2021-06-22 00:00:00,In-store
30,789,2021-11-01 00:00:00,Online
31,2240,2023-03-04 00:00:00,Online
32,794,2023-06-15 00:00:00,In-store
33,1460,2022-10-03 00:00:00,Online
34,2242,2023-02-06 00:00:00,Online
35,1466,2024-04-08 00:00:00,Online
36,904,2022-08-25 00:00:00,In-store
37,836,2022-06-25 00:00:00,In-store
38,2630,2022-11-21 00:00:00,Online
39,580,2023-10-31 00:00:00,In-store
40,2838,2021-12-07 00:00:00,In-store
41,2982,2021-07-30 00:00:00,In-store
42,765,2023-01-25 00:00:00,In-store
43,1665,2021-07-30 00:00:00,In-store
44,1773,2022-07-21 00:00:00,In-store
45,1283,2023-12-14 00:00:00,In-store
46,2334,2023-10-08 00:00:00,In-store
47,982,2022-10-26 00:00:00,In-store
48,318,2023-07-11 00:00:00,In-store
49,2359,2023-07-27 00:00:00,Online
50,1117,2022-11-03 00:00:00,In-store
51,457,2022-02-12 00:00:00,In-store
52,2806,2022-04-01 00:00:00,Online
53,1490,2022-11-29 00:00:00,Online
54,1026,2022-04-16 00:00:00,Online
55,809,2024-02-09 00:00:00,Online
56,230,2024-01-16 00:00:00,In-store
57,350,2023-06-08 00:00:00,Online
58,1131,2021-06-05 00:00:00,Online
59,1721,2023-03-12 00:00:00,Online
60,1413,2022-10-21 00:00:00,Online
61,2558,2024-04-09 00:00:00,In-store
62,549,2023-11-10 00:00:00,Online
63,1168,2022-07-20 00:00:00,In-store
64,95,2023-06-21 00:00:00,In-store
65,2817,2023-03-09 00:00:00,In-store
66,219,2023-08-01 00:00:00,In-store
67,228,2021-10-19 00:00:00,Online
68,1884,2022-07-21 00:00:00,Online
69,1026,2022-01-02 00:00:00,Online
70,114,2023-12-28 00:00:00,Online
71,1126,2022-12-12 00:00:00,Online
72,1754,2023-10-24 00:00:00,In-store
73,1734,2022-07-17 00:00:00,Online
74,2253,2021-05-19 00:00:00,In-store
75,95,2023-03-28 00:00:00,In-store
76,2503,2023-11-30 00:00:00,Online
77,2037,2022-12-23 00:00:00,In-store
78,2353,2024-03-18 00:00:00,Online
79,263,2023-12-12 00:00:00,Online
80,131,2022-04-26 00:00:00,Online
81,2749,2022-08-15 00:00:00,Online
82,2652,2024-04-01 00:00:00,Online
83,1274,2023-11-13 00:00:00,In-store
84,2015,2022-06-02 00:00:00,Online
85,2486,2021-06-16 00:00:00,Online
86,1776,2023-01-23 00:00:00,In-store
87,2515,2021-08-15 00:00:00,Online
88,197,2021-12-15 00:00:00,In-store
89,691,2023-12-08 00:00:00,In-store
90,1999,2024-05-07 00:00:00,In-store
91,1995,2022-04-29 00:00:00,Online
92,777,2022-05-10 00:00:00,In-store
93,273,2021-10-04 00:00:00,In-store
94,2886,2022-08-12 00:00:00,Online
95,2394,2022-01-20 00:00:00,In-store
96,2447,2021-06-16 00:00:00,In-store
97,946,2022-08-07 00:00:00,Online
98,2302,2022-07-25 00:00:00,Online
99,1212,2023-10-03 00:00:00,In-store
100,1158,2022-07-17 00:00:00,Online
101,2697,2022-08-22 00:00:00,In-store
102,131,2021-12-23 00:00:00,Online
103,430,2022-07-08 00:00:00,In-store
104,351,2022-11-14 00:00:00,Online
105,1295,2024-03-21 00:00:00,In-store
106,2376,2023-09-12 00:00:00,In-store
107,2090,2023-05-27 00:00:00,In-store
108,892,2023-08-19 00:00:00,In-store
109,1443,2022-10-28 00:00:00,Online
110,2540,2021-08-12 00:00:00,Online
111,2325,2021-11-19 00:00:00,In-store
112,1142,2022-12-15 00:00:00,Online
113,2514,2023-07-22 00:00:00,In-store
114,2376,2023-02-09 00:00:00,In-store
115,1241,2023-09-24 00:00:00,In-store
116,806,2023-10-13 00:00:00,Online
117,681,2023-09-24 00:00:00,In-store
118,1583,2022-10-10 00:00:00,In-store
119,2225,2024-02-28 00:00:00,In-store
120,2887,2022-10-19 00:00:00,In-store
121,1650,2024-04-13 00:00:00,Online
122,2403,2024-04-16 00:00:00,In-store
